Price,Address,Details
"$6,095/mo","Wilshire Victoria Westwood Apartments, 10700 Wilshire Blvd APT 206, Los Angeles, CA 90024",1 bd | 1 ba | 1129 sqft
"$4,100/mo","Strathmore Regency, 11050 Strathmore Dr #1STFLOOR, Los Angeles, CA 90024",2 bd | 2 ba | 920 sqft
"$2,995+ 1 bd","Westwood Village Apartments | 1033 Hilgard Ave, Los Angeles, CA",1 bd | 1 ba | 1129 sqft
"$3,335+ 1 bd","10401 Wilshire Building | 10401 Wilshire Blvd, Los Angeles, CA",2 bd | 3 ba | 1415 sqft
"$5,250+ 2 bds","Village Lofts | 11024 Strathmore Dr, Los Angeles, CA",Studio | 1 ba | 550 sqft
"$18,000/mo","Lumiere at Malcolm - Luxury Homes, 1644 Malcolm Ave #530, Los Angeles, CA 90024",4 bd | 5 ba | 2953 sqft
"$2,395/mo","1370 Veteran Ave, 1370 Veteran Ave APT 220, Los Angeles, CA 90024",1 bd | 1 ba | 600 sqft
"$4,375/mo","Argon Wilshire, 10636 Wilshire Blvd APT 105, Los Angeles, CA 90024",2 bd | 3 ba | 1415 sqft
"$2,695+ Studio","Rochester Bruins | 10965 Rochester Ave, Los Angeles, CA",1 bd | 1 ba | 600 sqft
"$6,095/mo","Wilshire Victoria Westwood Apartments, 10700 Wilshire Blvd APT 206, Los Angeles, CA 90024",1 bd | 1 ba | 1129 sqft
"$4,100/mo","Strathmore Regency, 11050 Strathmore Dr #1STFLOOR, Los Angeles, CA 90024",2 bd | 2 ba | 920 sqft
"$2,995+ 1 bd","Westwood Village Apartments | 1033 Hilgard Ave, Los Angeles, CA",1 bd | 1 ba | 1129 sqft
"$3,335+ 1 bd","10401 Wilshire Building | 10401 Wilshire Blvd, Los Angeles, CA",Studio | 1 ba | 550 sqft
"$5,250+ 2 bds","Village Lofts | 11024 Strathmore Dr, Los Angeles, CA",2 bd | 2 ba | 920 sqft
"$18,000/mo","Lumiere at Malcolm - Luxury Homes, 1644 Malcolm Ave #530, Los Angeles, CA 90024",4 bd | 5 ba | 2953 sqft
